cap_id,cap_nome,cap_tipo,score_atual,patch_prioridade,patch_descricao,patch_template_ref
1,Sistemas Biológicos,base,0.74,1,"Inserir 1 analogia-âncora (10–30 palavras) conectando sistemas vivos a algo cotidiano do aluno da UNESP (ex.: robótica caseira, cozinha, fermentação)",
1,Sistemas Biológicos,base,0.74,2,"Ativar ou remover o bloco TikZ comentado (decidir uma vez, não deixar ruído no source)",
4,Mathematics,tecnico,0.84,1,"Inserir 2–3 slides-síntese entre as 4 seções principais (Intro/Matemática/Modelagem/Cálculo), cada um com 3 bullets-síntese",
4,Mathematics,tecnico,0.84,2,Adicionar uma capa visual distinta para o capítulo (não apenas title frame padrão),
15,Emerging Topics,prospectivo,0.78,1,"Substituir ≥3 diagramas TikZ por \includegraphics de figuras externas (curvas Cryo-EM, redes ML) para quebrar a paleta monocromática",
15,Emerging Topics,prospectivo,0.78,2,"Marcar no slide de introdução: 'neste cap: A e B (profundos), C, D, E, F (survey)'",
2,Modelagem Matemática,tecnico,0.77,1,Substituir slide '\Huge Obrigado!' por recapitulação com 5 bullets-síntese + mapa de conexões entre os 5 modelos,
2,Modelagem Matemática,tecnico,0.77,2,Agrupar lstlistings múltiplos em um único ambiente tabular (reduz 21 shrinks para ≤8 + permite side-by-side comparison),
3,Static Networks,tecnico,0.76,1,Auditoria obrigatória: escrever 1 frase 'O que este código faz' antes de cada lstlisting + adicionar caption,
3,Static Networks,tecnico,0.76,2,Reduzir 57 shrinks: agrupar lstlistings curtos em frames tabulares (alvo: ≤15 shrinks total),
5,Parameter Estimation,tecnico,0.87,1,"Adicionar slide de recapitulação com 5 bullets + 1 mapa dos 4 métodos comparados (MLE, Bayesian, Profile, Bootstrap)",
5,Parameter Estimation,tecnico,0.87,2,Adicionar gabarito ou link .ipynb para os 3 Projetos Práticos (cumpre 'Excellent' ≥0.9),
6,Sistemas Gênicos,base,0.67,1,Escrever 1 analogia-âncora na Introdução (10–30 palavras): relacionar regulação gênica a switches elétricos caseiros (analogia boa para alunos de física/biofísica),
6,Sistemas Gênicos,base,0.67,2,Reduzir 21 shrinks: particionar lstlistings longos em no máximo 2 por slide,
7,Protein Systems,base,0.69,1,Quebrar 46 shrinks em ≤15: revisar slides `[shrink=40+]` e cortar conteúdo redundante,
7,Protein Systems,base,0.69,2,Inserir analogia-âncora comparando enovelamento proteico (path no landscape energético) a um labirinto 3D — toque visual + conceitual,
8,Metabolic Systems,base,0.67,1,"Adicionar 5 questões práticas cobrindo FBA, regulação alostérica, balanço de massa e dualidade cinética (cobrir melhor os 6 tópicos)",
8,Metabolic Systems,base,0.67,2,Inserir analogia-âncora na Introdução (sistema metabólico = indústria química microscópica com estoques e fluxos),
9,Signaling Systems,base,0.61,1,Escrever 3 analogias-âncoras (cascade signal = dominó + cascata de amplifiers em eletrônica; MAP kinase = interruptor dimmer vs on/off),
9,Signaling Systems,base,0.61,2,"Substituir 37 shrinks: revisar frames `[shrink=20+]` reduzindo conteúdo, objetivo ≤10 shrinks",
10,Population Systems,base,0.68,1,Quebrar lstlistings em ≤2 por slide (alinhamento com Cap 6 também) — alvo 5 lstlistings sem shrink,
10,Population Systems,base,0.68,2,Adicionar atribuição histórica para Lotka-Volterra (1925–1926) + Bartlett (1957) na seção de introdução de modelos,
11,Integrated Analysis,prospectivo,0.65,1,Adicionar slide de abertura declarando: 'neste cap: Multi-Ômica + Caso Trealose (profundos); Redes e Modelos integrados (survey)',
11,Integrated Analysis,prospectivo,0.65,2,Criar 1 caso extra integrador com lstlisting que combine omics + network analysis (alinhamento com Functionality),
12,Heart Physiology,prospectivo,0.66,1,Slide de abertura explicitando: 'neste cap: Eletrofisiologia + Acoplamento (fundo); Anatomia + Propagação (survey)',
12,Heart Physiology,prospectivo,0.66,2,Reduzir 38 shrinks: revisar frames com lstlistings ou mapas de canais iônicos — alvo ≤15,
13,Systems Medicine,prospectivo,0.65,1,Marcar no slide inicial: 'neste cap: Medicina Personalizada + Ensaios Clínicos (fundo); Descoberta + Doenças Complexas (survey)',
13,Systems Medicine,prospectivo,0.65,2,"Adicionar ≥2 lstlistings na seção de Medicina Personalizada (PK, clustering) com comparações visíveis",
14,Design Systems,prospectivo,0.72,1,Slide de abertura: 'neste cap: Circuitos sintéticos + Biocomputação (fundo); Biossensores + Therapeutic design (survey)',
14,Design Systems,prospectivo,0.72,2,Adicionar slide de recapitulação final (substitui 'Obrigado!') com 5 bullets + roadmap para capítulos futuros,
