tipo_item,cap_id,cap_nome,cap_tipo,score_final,design,originality,craft,functionality,gargalo,patch_top1,patch_top2,defeito_id,defeito_titulo,prioridade,esforco_estimado_h
capitulo,1,Sistemas Biológicos,base,0.74,0.7,0.6,0.7,0.9,Originality (zero analogia-âncora violando §2.3; tikz comentados nas linhas 689–700),"Inserir 1 analogia-âncora (10–30 palavras) conectando sistemas vivos a algo cotidiano do aluno da UNESP (ex.: robótica caseira, cozinha, fermentação)","Ativar ou remover o bloco TikZ comentado (decidir uma vez, não deixar ruído no source)",,,atenção,
capitulo,4,Mathematics,tecnico,0.84,0.8,0.8,0.9,0.9,Design (resumos intermediários faltam; ritmo denso sem pausa visual entre seções),"Inserir 2–3 slides-síntese entre as 4 seções principais (Intro/Matemática/Modelagem/Cálculo), cada um com 3 bullets-síntese",Adicionar uma capa visual distinta para o capítulo (não apenas title frame padrão),,,ok,
capitulo,15,Emerging Topics,prospectivo,0.78,0.7,0.7,0.8,0.85,"Design (100% TikZ cria monocromia visual + 31× shrink), Originality (profundidade assimétrica não marcada nos 6 tópicos)","Substituir ≥3 diagramas TikZ por \includegraphics de figuras externas (curvas Cryo-EM, redes ML) para quebrar a paleta monocromática","Marcar no slide de introdução: 'neste cap: A e B (profundos), C, D, E, F (survey)'",,,ok,
capitulo,2,Modelagem Matemática,tecnico,0.77,0.6,0.85,0.75,0.85,Design (21× shrink + densidade muito alta de lstlistings sem pause visual) e Functionality (slide final = 'Obrigado!'; sem recap),Substituir slide '\Huge Obrigado!' por recapitulação com 5 bullets-síntese + mapa de conexões entre os 5 modelos,Agrupar lstlistings múltiplos em um único ambiente tabular (reduz 21 shrinks para ≤8 + permite side-by-side comparison),,,ok,
capitulo,3,Static Networks,tecnico,0.76,0.5,0.85,0.65,0.85,Craft (57× [shrink=N] — pior do projeto; 10/11 lstlistings sem caption/frase de contexto),Auditoria obrigatória: escrever 1 frase 'O que este código faz' antes de cada lstlisting + adicionar caption,Reduzir 57 shrinks: agrupar lstlistings curtos em frames tabulares (alvo: ≤15 shrinks total),,,ok,
capitulo,5,Parameter Estimation,tecnico,0.87,0.8,0.9,0.9,0.9,Functionality (slide final 'Obrigado!' sem recap — único defeito significativo),"Adicionar slide de recapitulação com 5 bullets + 1 mapa dos 4 métodos comparados (MLE, Bayesian, Profile, Bootstrap)",Adicionar gabarito ou link .ipynb para os 3 Projetos Práticos (cumpre 'Excellent' ≥0.9),,,ok,
capitulo,6,Sistemas Gênicos,base,0.67,0.6,0.5,0.7,0.85,Originality (zero analogia-âncora em capítulo base — violação direta da §2.3; Originality ≤0.5),Escrever 1 analogia-âncora na Introdução (10–30 palavras): relacionar regulação gênica a switches elétricos caseiros (analogia boa para alunos de física/biofísica),Reduzir 21 shrinks: particionar lstlistings longos em no máximo 2 por slide,,,atenção,
capitulo,7,Protein Systems,base,0.69,0.5,0.5,0.8,0.85,Design (66% dos frames com shrink — ritmo visual comprometido) e Originality (sem analogia-âncora),Quebrar 46 shrinks em ≤15: revisar slides `[shrink=40+]` e cortar conteúdo redundante,Inserir analogia-âncora comparando enovelamento proteico (path no landscape energético) a um labirinto 3D — toque visual + conceitual,,,atenção,
capitulo,8,Metabolic Systems,base,0.67,0.6,0.5,0.75,0.7,"Functionality (3 questões para 56 frames = 5,4%/frame; abaixo do alvo §4.2 ≥5) + Originality","Adicionar 5 questões práticas cobrindo FBA, regulação alostérica, balanço de massa e dualidade cinética (cobrir melhor os 6 tópicos)",Inserir analogia-âncora na Introdução (sistema metabólico = indústria química microscópica com estoques e fluxos),,,atenção,
capitulo,9,Signaling Systems,base,0.61,0.5,0.4,0.7,0.7,Originality + Design (cumulativos: zero analogia-âncora + 37 shrinks; signals desbalanceados),Escrever 3 analogias-âncoras (cascade signal = dominó + cascata de amplifiers em eletrônica; MAP kinase = interruptor dimmer vs on/off),"Substituir 37 shrinks: revisar frames `[shrink=20+]` reduzindo conteúdo, objetivo ≤10 shrinks",,,crítica,
